,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,genre-label,genre-subtitle,narration,protagonist-gender,protagonist-policier,setting,availability,tei,status,decade
rf0036,rf0036,ErckChat,male,Invasion,1862,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0561,rf0561,Balzac,male,FausseMaitresse,1842,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf1156,rf1156,Gaboriau,male,VieInfernale1,1870,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf0029,rf0029,ErckChat,male,DeuxFreresRantzau,1873,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf1171,rf1171,Ponson,male,ExploitsRocambole3,1859,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1850s
rf0410,rf0410,Malot,male,SansFamille,1878,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf1027,rf1027,Gaboriau,male,Degringolade3,1872,narrative,novel,policier,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0061,rf0061,Zola,male,VentreParis,1873,narrative,novel,blanche,blanche,Gesellschaftsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0646,rf0646,France,male,MannequinOsier,1897,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,male,n.av.,n.av.,publicdomain,11,n.av.,1890s
rf0625,rf0625,FevalPP,male,VilleVampire,1875,narrative,novel,blanche,other,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,00,n.av.,1870s
