,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,genre-label,genre-subtitle,narration,protagonist-gender,protagonist-policier,setting,availability,tei,status,decade
rf0627,rf0627,FevalPP,male,MysteresLondres2,1843,narrative,novel,policier,archaique,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,00,n.av.,1840s
rf0137,rf0137,Sue,male,MysteresPeuple09,1853,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0378,rf0378,Gouraud,male,VieuxChateau,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0415,rf0415,Malot,male,Conscience,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0477,rf0477,Stolz,female,DeuxReines,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0566,rf0566,Balzac,male,UrsuleMirouet,1841,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0442,rf0442,Sand,female,Rudolstadt2,1843,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0464,rf0464,Sand,female,Valentine,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0103,rf0103,Zola,male,Reve,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0018,rf0018,Daudet,male,Nabab,1877,narrative,novel,blanche,social,roman de moeurs,n.av.,heterodiegetic,male,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf0461,rf0461,Sand,female,Consuelo1,1842,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0095,rf0095,Zola,male,FortuneRougon,1870,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0308,rf0308,Aimard,male,ChasseurRats,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0148,rf0148,Mirbeau,male,AbbeJules,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0370,rf0370,Gouraud,male,FillesProfesseur,1876,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0657,rf0657,Ohnet,male,AmePierre,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,urban,publicdomain,11,n.av.,1890s
rf0376,rf0376,Gouraud,male,EnfantsFerme,1869,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0374,rf0374,Gouraud,male,EnfantGuide,1868,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0106,rf0106,Boisgobey,male,BandeRouge1,1886,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf1152,rf1152,Gaboriau,male,CordeCou2,1873,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,suspect,rural,publicdomain,12,n.av.,1870s
rf0105,rf0105,Zola,male,Terre,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0350,rf0350,Fleuriot,female,Alberte,1881,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0372,rf0372,Gouraud,male,LivreMaman,1872,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0083,rf0083,Verne,male,AventureTroisRusses,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0605,rf0605,FevalPP,male,CavalierFortune,1868,narrative,novel,blanche,Abenteuerroman,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1860s
