,idno,author,gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,decade
rd0013,rd0013,Ponson,male,Breda,1866,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1860s
rd1184,rd1184,Boisgobey,male,RubisOngle,1886,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd1152,rd1152,Gaboriau,male,CordeCou2,1873,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0019,rd0019,Daudet,male,NumaRoumestan,1881,narrative,novel,blanche,n.av.,moeurs,heterodiegetic,publicdomain,1880s
rd0034,rd0034,ErckChat,male,HistoirePaysan3,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0091,rd0091,Verne,male,ChateauCarpathes,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0055,rd0055,Maupassant,male,PierreJean,1888,narrative,novel,blanche,Bildungsroman,n.av.,heterodiegetic,publicdomain,1880s
rd0319,rd0319,AimardAuriac,male,PiedsFourchus,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0176,rd0176,Verne,male,TestamentExcentrique,1899,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1890s
rd1162,rd1162,Ponson,male,ClubValets2,1858,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0476,rd0476,Stolz,female,MaisonRoulante,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0146,rd0146,Mirbeau,male,Calvaire,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1002,rd1002,Boisgobey,male,OeilChat1,1888,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0409,rd0409,Malot,male,RomainKalbris,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd1174,rd1174,Ponson,male,MiseresLondres3,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0404,rd0404,Loti,male,RomanEnfant,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0728,rd0728,Constant,male,CahierRouge,1907,narrative,roman,blanche,n.av.,n.av.,autodiegetic,publicdomain,1900s
rd0303,rd0303,Aimard,male,RoisOcean2VentEnPanne,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0300,rd0300,Aimard,male,Forestier,1869,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd1163,rd1163,Ponson,male,CordePendu1,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0565,rd0565,Balzac,male,DebutVie,1842,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0081,rd0081,Verne,male,ArchipelFeu,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0417,rd0417,Malot,male,BelleMere,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0620,rd0620,FevalPP,male,MysteresLondres1,1843,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1840s
rd0004,rd0004,Balzac,male,Peau,1831,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1830s
rd0647,rd0647,France,male,Thais,1890,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1890s
rd0308,rd0308,Aimard,male,ChasseurRats,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0317,rd0317,AimardAuriac,male,ForestiersMichigan,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0033,rd0033,ErckChat,male,HistoirePaysan2,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0725,rd0725,Chateaubriand,male,Natchez,1821,narrative,roman,blanche,n.av.,n.av.,n.av.,restricted,1820s
rd1170,rd1170,Ponson,male,ExploitsRocambole2,1859,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0107,rd0107,Boisgobey,male,BandeRouge2,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1028,rd1028,Gaboriau,male,EsclavesParis1,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0378,rd0378,Gouraud,male,VieuxChateau,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0444,rd0444,Sand,female,PecheAntoine,1845,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0061,rd0061,Zola,male,VentreParis,1873,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1870s
rd0420,rd0420,Malot,male,BonneAffaire,1870,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0110,rd0110,Gaboriau,male,Cotillons2,1861,narrative,nouvelles,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0128,rd0128,Sue,male,MysteresParis02,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd1021,rd1021,Gaboriau,male,Argent1,1874,narrative,novel,policier,Kriminalroman,n.av.,heterodiegetic,publicdomain,1870s
rd0147,rd0147,Mirbeau,male,SebastienRoch,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0098,rd0098,Zola,male,JoieVivre,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0421,rd0421,Mary,male,FillesPocharde,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd1179,rd1179,Ponson,male,TestamentGrainDeSel,1862,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0131,rd0131,Sue,male,MysteresPeuple02,1849,narrative,novel,blanche,n.av.,histoire,n.av.,publicdomain,1840s
rd0717,rd0717,Rodenbach,male,Carillonneur,1897,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,1890s
rd0635,rd0635,FevalPP,male,HabitsNoirs7Compagnons,1872,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0638,rd0638,Huysmans,male,SœursVatard,1879,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd1164,rd1164,Ponson,male,CordePendu2,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0143,rd0143,Sue,male,MysteresPeuple16,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0006,rd0006,Aurevilly,male,HistoireSans,1882,narrative,roman,fantastique,n.av.,histoire,n.av.,publicdomain,1880s
rd0132,rd0132,Sue,male,MysteresPeuple03,1850,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0370,rd0370,Gouraud,male,FillesProfesseur,1876,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0457,rd0457,Sand,female,DamesVertes,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd1023,rd1023,Gaboriau,male,CliqueDoree1,1871,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1870s
rd1177,rd1177,Ponson,male,ResurrectionRocambole2,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0053,rd0053,Maupassant,male,FortMort,1889,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1880s
rd0414,rd0414,Malot,male,EnFamille,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0001,rd0001,Aurevilly,male,Amour,1841,narrative,roman,blanche,n.av.,chronicle,n.av.,publicdomain,1840s
rd0630,rd0630,FevalPP,male,HabitsNoirs1,1863,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0605,rd0605,FevalPP,male,CavalierFortune,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0311,rd0311,Aimard,male,BelleRiviere,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0568,rd0568,Balzac,male,Comediens,1845,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0445,rd0445,Sand,female,Nanon,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0382,rd0382,Huysmans,male,SoeursVatard,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0564,rd0564,Balzac,male,ModesteMignon,1844,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0036,rd0036,ErckChat,male,Invasion,1862,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0407,rd0407,Malot,male,Cara,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0346,rd0346,Fleuriot,female,TranquilleTourbillon,1880,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0103,rd0103,Zola,male,Reve,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0455,rd0455,Sand,female,Francia,1871,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1168,rd1168,Ponson,male,RocambolePrison,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0305,rd0305,Aimard,male,Ourson,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0722,rd0722,Villiers,male,Isis,1862,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,1860s
rd0640,rd0640,Huysmans,male,ARebours,1884,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0087,rd0087,Verne,male,CapitaineQuinzeAns,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0424,rd0424,Mary,male,RevancheRoger1,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0365,rd0365,Gautier,male,CapitaineFracasse,1863,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0038,rd0038,ErckChat,male,Waterloo,1865,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0148,rd0148,Mirbeau,male,AbbeJules,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1003,rd1003,Boisgobey,male,DoubleBlanc,1889,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0349,rd0349,Fleuriot,female,BoucheEnCoeur,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0474,rd0474,Sand,female,Compagnon,1840,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0623,rd0623,FevalPP,male,ReineEpees,1852,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0011,rd0011,Ponson,male,FemmeImmortelle,1852,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1850s
rd0366,rd0366,Gautier,male,MlleMaupin,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd1009,rd1009,Boisgobey,male,Chat2,1888,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,1880s
rd0572,rd0572,Balzac,male,CureVillage,1841,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0175,rd0175,Verne,male,SecretStoritz,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0177,rd0177,Verne,male,TribulationsChinois,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0104,rd0104,Zola,male,AbbeMouret,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0648,rd0648,France,male,CrimeSylvestreBonnard,1881,narrative,novel,blanche,n.av.,n.av.,homodiegetic,publicdomain,1880s
